GEO_ID,Name,Population,Margin_Of_Error
1500000US060855035091,Block Group 1; Census Tract 5035.09; Santa Clara County; California,2276,829
1500000US060855035092,Block Group 2; Census Tract 5035.09; Santa Clara County; California,1931,386
1500000US060855035101,Block Group 1; Census Tract 5035.10; Santa Clara County; California,1930,745
1500000US060855035102,Block Group 2; Census Tract 5035.10; Santa Clara County; California,738,253
1500000US060855035103,Block Group 3; Census Tract 5035.10; Santa Clara County; California,1741,625
1500000US060855035111,Block Group 1; Census Tract 5035.11; Santa Clara County; California,1777,370
1500000US060855035112,Block Group 2; Census Tract 5035.11; Santa Clara County; California,1614,338
1500000US060855036011,Block Group 1; Census Tract 5036.01; Santa Clara County; California,1579,665
1500000US060855036012,Block Group 2; Census Tract 5036.01; Santa Clara County; California,2030,344
1500000US060855036021,Block Group 1; Census Tract 5036.02; Santa Clara County; California,1374,480
1500000US060855036022,Block Group 2; Census Tract 5036.02; Santa Clara County; California,1979,597
1500000US060855036023,Block Group 3; Census Tract 5036.02; Santa Clara County; California,1665,657
1500000US060855037031,Block Group 1; Census Tract 5037.03; Santa Clara County; California,1672,368
1500000US060855037032,Block Group 2; Census Tract 5037.03; Santa Clara County; California,2055,739
1500000US060855037071,Block Group 1; Census Tract 5037.07; Santa Clara County; California,2109,866
1500000US060855037072,Block Group 2; Census Tract 5037.07; Santa Clara County; California,2119,446
1500000US060855037073,Block Group 3; Census Tract 5037.07; Santa Clara County; California,860,311
1500000US060855037081,Block Group 1; Census Tract 5037.08; Santa Clara County; California,2442,350
1500000US060855037091,Block Group 1; Census Tract 5037.09; Santa Clara County; California,3687,707
1500000US060855037092,Block Group 2; Census Tract 5037.09; Santa Clara County; California,1060,332
1500000US060855037093,Block Group 3; Census Tract 5037.09; Santa Clara County; California,1102,367
1500000US060855037101,Block Group 1; Census Tract 5037.10; Santa Clara County; California,1484,533
1500000US060855037102,Block Group 2; Census Tract 5037.10; Santa Clara County; California,1874,413
1500000US060855037111,Block Group 1; Census Tract 5037.11; Santa Clara County; California,728,233
1500000US060855037112,Block Group 2; Census Tract 5037.11; Santa Clara County; California,2144,570
1500000US060855037113,Block Group 3; Census Tract 5037.11; Santa Clara County; California,1551,602
1500000US060855037121,Block Group 1; Census Tract 5037.12; Santa Clara County; California,924,361
1500000US060855037122,Block Group 2; Census Tract 5037.12; Santa Clara County; California,1062,336
1500000US060855037123,Block Group 3; Census Tract 5037.12; Santa Clara County; California,2029,815
1500000US060855037131,Block Group 1; Census Tract 5037.13; Santa Clara County; California,2500,546
1500000US060855037132,Block Group 2; Census Tract 5037.13; Santa Clara County; California,697,252
