Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_WalkTime,Total_PublicTransitTime,Shape_Length
Block Group 1; Census Tract 5091.09; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,174,1,1,,,214.833,20704.979
Block Group 1; Census Tract 5092.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,175,1,1,,,214.833,22928.417
Block Group 2; Census Tract 5092.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,176,1,1,,,214.833,23464.32
Block Group 3; Census Tract 5092.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,177,1,1,,,214.833,22765.28
Block Group 1; Census Tract 5104; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,178,1,1,,,274.833,26535.378
Block Group 2; Census Tract 5104; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,179,1,1,,,274.833,26324.496
Block Group 3; Census Tract 5104; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,180,1,1,,,274.833,25799.658
Block Group 1; Census Tract 5105; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,181,1,1,,,274.833,27652.747
Block Group 2; Census Tract 5119.16; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,182,1,1,,,139.667,14303.991
Block Group 1; Census Tract 5119.15; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,183,1,1,,,124.667,12983.339
Block Group 3; Census Tract 5120.19; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,184,1,1,,,94.667,10363.449
Block Group 2; Census Tract 5120.21; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,185,1,1,,,79.667,11946.224
Block Group 3; Census Tract 5120.21; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,186,1,1,,,64.667,12451.032
Block Group 4; Census Tract 5092.01; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,187,1,1,,,214.833,23362.503
Block Group 1; Census Tract 5092.02; Santa Clara County; California - Block Group 1; Census Tract 5009.01; Santa Clara County; California,188,1,1,,,244.833,24251.921
